last_message_length,response_time_gap,initiator,conversation_length,reply_ratio,avg_response_time,message_tone,emoji_count,question_asked,time_of_day,seen_ignored,past_ghosting_history,user_type,reply,ghosted
9,27.98249984281026,them,172,0.95,83.8815950048783,enthusiastic,6,0,night,0,1,ghoster,0,1
29,68.43997222930274,them,26,0.98,44.71286006116448,enthusiastic,5,0,night,1,0,interested,0,0
41,42.994509085407245,me,13,0.79,29.984698762518814,dry,9,0,day,0,0,casual,1,0
10,71.1019659143644,them,45,0.11,104.10729873230932,dry,0,1,day,1,0,casual,0,1
5,34.28970951047402,them,132,0.59,54.788644969141515,dry,9,0,night,1,0,interested,0,0
46,65.4984596962965,me,21,0.32,18.651725253583383,dry,4,1,night,1,1,ghoster,0,1
50,39.696136444065516,me,111,0.45,28.190735349385545,neutral,7,1,night,0,1,ghoster,0,1
31,4.833598185838638,me,24,0.43,89.6060873338336,neutral,2,0,night,0,1,dry_texter,0,0
4,69.72470102242616,them,91,0.1,61.38209308919249,dry,10,1,day,0,1,dry_texter,1,1
36,70.167355353051,me,156,0.93,99.70583400519989,neutral,0,0,night,1,1,dry_texter,1,1
10,53.349772256526236,me,24,0.75,26.6008127239878,neutral,7,1,day,1,1,dry_texter,0,1
11,54.31938329699895,me,173,0.08,53.7304439453088,neutral,7,1,night,1,0,interested,1,1
34,48.03354422901717,me,57,0.4,72.3196698763896,dry,3,1,day,0,1,dry_texter,1,1
25,38.34592904645451,me,129,0.56,80.4977324376838,neutral,1,1,day,1,0,ghoster,0,1
46,46.09020017142568,them,30,0.41,115.97776323294202,dry,9,1,night,0,1,interested,1,0
20,53.69794750545141,me,86,0.78,10.089145919289516,enthusiastic,1,0,night,1,0,casual,1,1
49,47.196648757349216,me,198,0.63,56.210415153049325,enthusiastic,9,1,night,1,0,ghoster,0,1
4,25.33984002864551,me,80,0.46,5.475262222959957,neutral,4,0,day,1,1,interested,0,0
31,36.09844573484359,me,116,0.1,107.99609324073705,neutral,1,0,day,0,1,ghoster,0,1
25,29.431396601807062,them,174,0.6,94.91800485607611,enthusiastic,5,0,night,0,1,dry_texter,1,0
10,24.002066596360073,me,90,0.31,79.07051144629057,enthusiastic,6,0,day,1,1,dry_texter,0,1
44,65.69625495299935,me,166,0.67,61.51012988431411,dry,5,1,day,0,1,ghoster,0,0
7,36.55365931617453,me,170,0.34,92.19060492922175,dry,9,1,day,0,0,casual,0,1
29,43.962870393058736,them,60,0.53,37.826679690971964,neutral,3,1,night,1,1,ghoster,0,1
39,9.964694491447048,them,14,0.64,105.01991646121621,enthusiastic,1,0,night,0,0,dry_texter,1,0
15,58.80263442159604,them,7,0.41,48.17802189095949,neutral,3,1,day,1,0,interested,1,1
10,9.90717031626276,them,121,0.7,17.51633032636416,enthusiastic,7,1,day,0,0,dry_texter,1,1
28,8.005453943345167,them,61,0.3,6.6821841476433015,neutral,10,1,day,0,1,interested,1,0
1,44.266289959868445,me,147,0.42,80.06018490729909,dry,8,1,day,0,1,ghoster,1,1
23,56.7734411721251,them,62,0.73,75.76257853460312,enthusiastic,5,0,day,1,1,casual,0,1
12,58.42783309302766,me,184,0.78,55.46386971623503,neutral,3,0,day,0,1,dry_texter,0,0
49,46.57683591365402,them,92,0.86,6.688680075332474,enthusiastic,5,1,day,1,1,ghoster,0,1
32,49.828931360108285,them,133,0.27,10.830769289453896,neutral,1,1,day,1,1,interested,1,1
28,11.998423588745784,them,90,0.45,87.49091308962124,neutral,9,1,night,0,0,ghoster,0,0
10,61.10419031787849,them,9,0.13,29.08345027002192,enthusiastic,5,1,night,0,0,ghoster,0,1
34,26.42039630307593,them,167,0.28,115.30188621953415,dry,2,1,night,0,1,dry_texter,0,1
32,14.412840551360654,me,19,0.45,107.94280466356142,neutral,1,1,night,0,1,dry_texter,0,0
24,36.630413652549656,me,52,0.79,29.171605930137588,neutral,0,1,night,1,0,interested,1,1
27,55.379847626978254,me,33,0.97,77.43829213697938,neutral,7,1,day,0,0,ghoster,0,1
20,11.855309752088937,them,182,0.23,113.75049328034805,enthusiastic,4,0,night,0,1,casual,1,1
38,67.7957031265389,me,44,0.66,86.75529944403549,enthusiastic,5,0,day,0,0,dry_texter,0,0
32,64.00777546432471,them,165,0.96,58.470433362874914,enthusiastic,6,1,night,0,0,casual,1,1
21,62.026925531939625,them,188,0.99,42.09909672341883,neutral,2,1,day,1,0,ghoster,0,1
25,62.21979722609502,them,64,0.96,108.37498842182949,neutral,9,1,day,0,1,ghoster,0,1
33,32.92060623766062,me,56,0.58,6.790317818629055,neutral,7,1,night,0,0,ghoster,1,1
3,28.841876713062476,me,93,0.55,9.750278219398178,enthusiastic,7,1,day,0,0,ghoster,0,0
10,14.332167471776398,them,129,0.04,5.630761983300208,enthusiastic,5,1,night,0,0,dry_texter,0,1
20,42.748175205431046,them,182,0.56,57.512219399765954,dry,5,1,day,1,1,interested,0,1
38,41.58967650222117,me,150,0.48,63.38364758233728,enthusiastic,9,1,day,0,0,interested,1,0
14,29.547173471234764,them,189,0.73,84.98725262606006,enthusiastic,3,1,night,1,1,casual,0,1
47,49.0137040489782,them,157,0.48,114.92315014701916,neutral,8,1,day,1,1,casual,0,1
47,19.68894264639046,me,147,0.68,46.18360805955152,neutral,5,0,night,0,1,interested,1,0
13,59.61252265257843,them,144,0.7,17.33548162130983,enthusiastic,9,0,day,0,0,casual,1,1
50,9.897626462378078,me,105,0.65,105.7970474103805,neutral,7,0,night,1,1,interested,0,1
47,61.22398331344273,me,45,0.42,100.67498180209738,dry,6,1,day,1,0,interested,1,1
30,71.21516184638809,them,35,0.85,56.69447151174852,dry,1,1,day,1,1,casual,1,1
13,12.63563379636946,them,110,0.52,11.321794611954353,enthusiastic,1,0,day,1,1,casual,1,1
22,21.74010045779626,me,67,0.65,83.43946226030593,dry,10,0,night,1,0,ghoster,0,0
45,8.453933700823896,them,95,0.61,27.076303511305927,dry,7,0,night,1,1,ghoster,0,1
44,54.341247580190306,me,135,0.45,84.74816889354884,dry,9,0,day,0,0,casual,1,1
38,35.19561361184566,them,15,0.45,62.07649334099534,neutral,9,0,night,1,0,ghoster,0,1
28,24.806078392473687,me,139,0.99,112.21535306730863,dry,7,0,night,1,0,casual,0,0
25,32.29467355171338,them,97,0.08,115.73318078930163,enthusiastic,2,1,day,0,1,casual,1,1
20,33.336280886024156,them,137,0.38,28.33002394775995,neutral,5,0,night,0,0,interested,0,0
2,17.32797317831126,me,26,0.59,54.12648688358368,enthusiastic,0,0,day,1,1,casual,1,0
19,16.859629234199296,them,148,0.6,81.03129627099273,neutral,3,1,day,0,1,dry_texter,1,1
12,45.07150591067976,them,143,0.5,116.70253800589862,enthusiastic,10,1,night,1,1,casual,1,1
15,21.65302215325064,me,119,0.91,67.92392800084218,neutral,8,0,night,0,1,casual,1,1
35,52.170099286118536,me,14,0.27,81.16695855551484,enthusiastic,0,0,day,0,1,casual,0,0
13,69.26958404024104,me,192,1.0,57.99158428474153,dry,9,0,night,0,1,dry_texter,0,1
33,63.562460570066904,them,26,0.8,86.967215209226,neutral,3,1,night,1,0,casual,0,1
47,30.0656212959725,me,51,0.33,46.20093319419735,dry,7,1,night,1,1,ghoster,0,1
32,13.25143964601126,me,135,0.03,101.75698859874396,enthusiastic,0,0,night,0,0,interested,1,1
40,45.91645860676721,them,169,0.49,1.7868704820669086,enthusiastic,6,0,day,1,1,interested,0,0
12,7.705182866003489,me,135,0.15,23.83991478200197,enthusiastic,4,1,night,1,0,dry_texter,0,1
20,49.250997033867755,me,168,0.99,78.33743976347681,dry,1,1,night,1,1,interested,0,1
42,56.475094376888,me,136,0.92,28.34221315502099,enthusiastic,9,1,night,0,0,dry_texter,0,1
21,1.1273828538192925,me,151,0.14,98.66219823667896,neutral,1,1,day,0,1,dry_texter,1,1
6,36.05708531791621,them,14,0.1,28.625136522965754,dry,5,1,night,0,1,ghoster,0,1
44,42.18300872719569,them,22,0.77,36.15015820390407,dry,1,0,night,0,1,casual,0,0
20,32.02098227973327,them,27,0.13,23.29962223981739,neutral,8,1,day,0,0,dry_texter,0,1
1,21.013009293335113,them,200,0.08,108.23518933791553,dry,9,0,night,0,0,dry_texter,1,1
27,21.582162282352552,me,93,0.25,30.34421813329335,enthusiastic,7,0,night,0,0,dry_texter,1,1
22,31.69605034665024,them,167,0.97,17.19881211781351,neutral,9,0,night,1,0,ghoster,0,1
37,56.3021546114575,them,97,0.28,94.51811726957023,neutral,1,0,day,0,1,casual,0,1
27,48.45439097247892,me,163,0.3,31.06912050679991,dry,6,1,day,1,1,ghoster,0,0
3,56.93190602754666,them,180,0.9,64.89181233692595,enthusiastic,1,0,day,1,0,interested,0,0
22,69.53160799539563,them,28,0.01,31.789866078034997,enthusiastic,8,0,night,1,1,ghoster,0,1
2,34.75951808339025,them,107,0.92,11.216721130998808,enthusiastic,2,1,night,1,1,casual,0,1
29,22.96148214367443,them,12,0.81,14.695146737155527,neutral,10,0,day,0,0,casual,1,0
41,13.280527810900344,them,102,0.03,74.07872554725846,dry,7,1,night,0,0,casual,1,1
35,13.461108165510725,them,51,0.46,32.220054058830954,neutral,8,1,night,1,0,dry_texter,1,1
20,66.14514574589494,me,173,0.13,15.02553666673715,neutral,1,0,night,0,1,ghoster,0,1
35,49.92717071011358,me,143,0.17,35.371338111872134,dry,5,1,day,1,0,ghoster,0,1
32,29.457673082486984,them,107,0.71,53.818357394302204,dry,1,0,day,1,0,dry_texter,0,1
50,55.14620795594573,me,147,0.11,93.23845031581547,neutral,8,0,night,0,1,interested,0,1
3,32.38072868378979,them,23,0.44,119.28096443391543,dry,3,1,night,0,0,casual,0,0
39,38.79133531542994,them,181,0.29,69.15553399781751,enthusiastic,10,0,day,1,0,dry_texter,0,1
46,23.190963235875138,me,195,0.84,47.73138928596369,dry,9,1,night,1,1,interested,1,0
18,50.018660332383206,them,117,0.95,39.94742433915071,dry,1,1,night,0,1,casual,0,1
19,24.31837117229669,me,145,0.85,94.8081347637252,enthusiastic,0,0,day,1,0,interested,0,1
28,14.56691086061278,me,167,0.3,105.05638094242171,neutral,1,1,night,0,1,casual,1,1
28,47.194936443614516,me,1,0.21,10.274707867140135,enthusiastic,3,1,day,0,1,interested,0,1
25,6.431837831549071,me,27,0.31,105.8376904026522,dry,6,0,day,0,0,casual,1,0
27,44.357472907250845,them,56,0.09,12.955348384839015,dry,9,1,night,1,1,casual,0,1
47,43.746703121917676,me,169,0.88,25.448040460140593,enthusiastic,8,0,night,1,0,casual,0,1
34,63.98816602225735,me,93,0.93,16.70596280719154,enthusiastic,6,1,day,1,0,interested,0,1
26,36.475963507794745,them,109,0.7,10.808909619032859,enthusiastic,8,0,night,0,1,interested,1,1
26,42.2234757368951,me,80,0.7,87.86504691435343,dry,0,0,day,1,0,ghoster,0,1
12,8.599896497367897,me,180,0.01,60.07313897020315,neutral,8,1,day,1,0,dry_texter,0,1
28,19.58260284153747,me,68,0.71,69.6215492909879,dry,7,1,night,0,1,casual,1,1
47,8.304019454457745,me,12,0.86,2.4622806914271607,dry,7,1,night,0,0,interested,1,0
21,17.87494920172151,them,70,0.83,69.01277955147751,dry,8,0,day,0,0,ghoster,1,1
21,6.219757615198048,them,3,0.37,35.69981578806788,neutral,9,0,night,1,1,casual,0,1
27,1.7215384302723153,them,163,0.84,105.38663509593742,neutral,0,1,night,0,0,casual,1,0
18,6.697917961782352,me,134,0.41,107.5737748766433,neutral,1,0,day,1,0,interested,1,0
21,66.67502052827784,them,180,0.83,39.82393668479374,neutral,4,0,day,0,0,interested,1,1
35,25.796696107489613,me,116,0.31,32.53594330285028,dry,1,0,night,0,0,dry_texter,1,1
4,48.757203143213175,them,45,0.03,49.12267494721378,neutral,8,0,day,1,0,casual,0,1
13,59.30448589356162,them,176,0.63,77.71751686931171,enthusiastic,9,1,day,0,0,casual,0,1
22,8.821991466538119,them,13,0.17,69.29221977700001,enthusiastic,6,1,day,1,1,casual,1,1
10,2.4947599486684258,me,166,0.3,50.02707254924364,enthusiastic,7,0,day,1,1,casual,1,1
35,57.228929589734655,them,183,0.36,65.79761891805215,neutral,5,1,night,1,0,interested,1,1
4,58.223079617248885,them,136,0.36,70.49468146229597,dry,2,0,day,0,1,interested,0,0
25,25.545933688691512,me,46,0.24,38.8425198267327,enthusiastic,5,0,night,0,0,ghoster,0,1
39,15.754243801793564,them,1,0.33,74.08203735183373,dry,5,0,night,0,0,casual,0,0
24,69.16023001985457,them,181,0.94,48.07587192010866,dry,5,1,night,0,0,ghoster,0,0
36,49.936348677063094,them,58,0.67,97.92005413671465,neutral,4,1,day,0,0,ghoster,0,1
21,66.31475158210172,me,164,0.57,112.46584743295625,dry,5,0,day,1,1,casual,0,0
47,63.83905309568317,them,3,0.27,30.695362713098177,dry,5,1,day,0,0,ghoster,0,1
25,25.288644189489823,them,26,0.83,94.8588693426701,enthusiastic,10,0,day,1,0,interested,1,1
11,63.93105127686983,me,188,0.08,113.07826308069211,dry,5,1,day,1,0,ghoster,0,1
45,39.896095126768515,them,170,0.28,29.268245908722236,dry,6,1,day,0,1,interested,1,1
13,6.983056618667914,me,44,0.64,117.26986582391258,neutral,1,1,night,1,1,dry_texter,1,1
24,13.433971763371076,me,68,0.44,32.34469634982072,neutral,9,0,day,0,0,dry_texter,0,0
4,60.53739598297803,them,138,0.69,112.42701083797292,enthusiastic,3,1,night,0,1,interested,1,0
40,10.616231088789508,them,45,0.95,20.892609705683732,dry,3,0,day,1,0,ghoster,0,1
21,65.57792297267478,me,23,0.39,48.28524432848727,neutral,4,1,day,1,0,ghoster,0,1
7,66.59482800666768,me,74,0.87,105.73615837037885,neutral,4,1,night,1,0,casual,0,1
3,28.49707758463429,them,177,0.24,89.7442285608572,neutral,5,0,night,1,1,dry_texter,0,1
15,9.675757509727713,them,199,0.83,33.06097774004287,neutral,9,0,day,1,0,ghoster,0,1
33,56.987308229848864,me,80,0.71,49.002831780480804,enthusiastic,9,0,day,0,0,interested,1,0
18,26.521338785383495,them,130,0.4,110.84575463638357,enthusiastic,0,0,night,1,1,casual,0,1
17,53.925201682915194,me,73,0.03,6.908474098041502,enthusiastic,3,0,day,0,1,ghoster,0,1
31,65.62911153977078,me,154,0.8,27.628633775073745,enthusiastic,4,1,night,1,1,ghoster,0,1
26,42.083075220633084,me,131,1.0,116.01176908128551,neutral,8,1,night,0,1,interested,1,1
42,51.198751841169006,them,49,0.15,92.09145220813116,dry,9,1,night,0,0,ghoster,0,1
3,41.977706573761736,me,88,0.73,27.461220083176002,enthusiastic,10,1,night,1,0,casual,1,1
36,54.93011171898978,me,175,0.9,78.87772267778723,dry,5,0,night,1,1,dry_texter,0,1
41,42.017372621465796,me,121,0.89,60.55680756463182,enthusiastic,6,1,night,0,0,casual,0,1
30,10.31213896557397,me,200,0.08,40.58290418306663,dry,5,0,day,1,1,casual,0,1
49,56.14217685415578,me,158,0.43,52.09975703808534,neutral,7,1,day,0,0,dry_texter,0,0
2,48.72586620075192,me,58,0.69,41.97762311353519,dry,1,1,night,0,0,interested,1,1
22,31.223896562562366,me,88,1.0,59.3312634658132,dry,2,1,day,0,0,casual,1,1
46,46.83890736872818,me,97,0.88,31.43891169710985,enthusiastic,9,0,day,0,0,interested,1,0
31,50.534511469491946,me,178,0.69,2.1072412195269594,neutral,10,0,night,0,1,interested,1,1
32,14.30255964285232,me,200,0.26,63.25438680351709,dry,5,1,night,0,0,ghoster,0,1
1,48.35758553749475,me,147,0.67,18.748194627345168,dry,8,0,day,1,0,ghoster,0,1
12,62.938112339675456,them,93,0.8,38.21214572856895,enthusiastic,1,0,day,0,0,casual,1,0
47,6.692494711494406,them,47,0.11,48.62977689143182,neutral,4,1,night,1,0,interested,1,0
7,29.95399559742455,them,146,0.68,22.57000670393895,neutral,5,0,day,1,1,interested,0,1
1,50.72890870660486,me,172,0.87,62.77286180294511,enthusiastic,9,0,night,0,1,dry_texter,0,1
40,3.928760296392661,me,130,0.85,102.37266702208187,dry,1,1,night,0,1,dry_texter,1,1
16,5.675802894345001,them,147,0.45,102.93411767718405,neutral,5,0,night,0,0,ghoster,1,1
39,69.34832987616035,them,131,0.56,78.89692204375154,neutral,5,1,day,0,1,dry_texter,0,1
46,32.58233684457601,me,195,0.66,1.2614367874078178,neutral,10,1,night,0,0,casual,1,0
17,43.98132716198523,me,31,0.93,47.75468229990564,neutral,3,1,day,1,0,interested,0,0
9,69.39754244622335,me,136,0.74,66.83393313960497,neutral,9,1,day,0,0,interested,1,0
25,30.143861700028587,me,71,0.4,41.8001979178824,neutral,7,0,day,1,1,dry_texter,0,0
40,51.4356865653524,them,173,0.13,85.53717679798811,dry,8,1,day,1,1,ghoster,0,1
28,58.19794411152211,me,7,0.38,7.314734941424774,dry,3,1,day,1,1,casual,0,1
3,25.82513548888182,them,27,0.62,81.38759560882751,enthusiastic,3,1,day,1,0,ghoster,0,0
36,3.8737578461579734,them,52,0.62,93.93006225223036,neutral,3,1,day,0,1,ghoster,1,1
33,8.593474411653517,me,110,0.28,32.44451184181807,dry,9,1,day,1,1,casual,1,0
41,44.32382467915176,them,126,0.79,66.46906138667602,dry,5,0,day,0,0,ghoster,0,1
43,23.89561307308667,them,76,0.22,90.56602705698751,enthusiastic,7,0,day,1,1,casual,0,1
44,63.767531447913235,them,30,0.39,65.28824024016482,neutral,0,1,night,1,0,dry_texter,0,1
11,69.95727143326317,me,161,0.07,80.76988001102374,dry,10,1,day,0,1,interested,0,1
6,5.273858099485192,me,65,0.56,69.4205130172722,dry,4,1,night,1,1,ghoster,1,0
47,44.521153841563354,me,180,0.85,43.566316511017696,enthusiastic,1,1,night,0,1,ghoster,0,1
15,9.819465143727369,them,140,0.29,76.45143461335441,neutral,10,1,day,0,0,interested,1,0
20,15.12380812970812,them,55,0.41,77.8658489236504,enthusiastic,2,0,day,0,1,casual,1,0
49,67.1306303090267,them,166,0.55,35.58766743489016,dry,4,0,day,1,1,dry_texter,0,1
13,22.88058748082823,them,85,0.62,37.37538323939977,enthusiastic,2,1,night,1,0,interested,1,0
18,60.48792423220718,me,174,0.73,105.46841371144743,neutral,7,1,night,1,0,casual,0,1
35,14.14309891278218,me,187,0.08,3.217005089677007,enthusiastic,10,0,night,0,0,dry_texter,1,0
24,28.259880900964724,them,35,0.46,61.739027207910475,neutral,5,0,day,0,0,ghoster,0,1
10,52.986226236107356,them,92,0.04,91.61521296225052,dry,1,1,night,0,0,casual,0,1
3,2.8731382981126306,them,27,0.7,63.04337559189253,neutral,4,0,night,1,1,interested,1,1
23,58.84104709681718,them,125,0.79,106.57346127853621,dry,8,0,night,0,0,interested,1,1
39,51.64579500869487,me,170,0.23,97.52954289538224,enthusiastic,1,1,night,1,0,casual,0,1
38,11.601298106462735,me,147,0.15,20.794622590637932,dry,8,1,day,1,0,casual,1,0
27,43.260387437606404,me,160,0.66,32.47796312688948,enthusiastic,10,1,night,0,0,ghoster,0,1
33,49.274483846316045,me,156,0.1,57.6284330732478,enthusiastic,9,0,day,0,1,casual,1,1
44,46.74468492767044,them,95,0.87,84.01949404960993,neutral,3,1,night,1,0,ghoster,0,1
19,43.07704918926339,them,66,0.19,85.38871162752685,dry,9,0,day,1,0,dry_texter,0,1
17,61.55833869129086,them,145,0.37,33.79170460271866,enthusiastic,6,0,night,1,0,dry_texter,0,1
50,50.79561177391813,me,169,0.12,28.342785232847845,enthusiastic,2,0,day,1,1,interested,0,0
10,33.96014352636075,them,23,0.06,27.390659109721927,dry,9,0,night,1,1,interested,0,1
13,61.24086981487023,them,50,0.03,72.34227463420625,enthusiastic,3,0,day,1,0,interested,0,1
43,28.450304427686845,me,133,0.02,84.7310090077329,dry,8,1,night,1,1,casual,0,1
17,12.602504650605416,me,144,0.07,36.01596711170628,dry,8,1,night,1,1,ghoster,0,1
30,64.54971523770324,me,124,0.12,9.038957018689176,enthusiastic,3,0,night,1,1,interested,0,1
48,59.11737764346217,me,142,0.93,57.71009903662547,neutral,3,1,day,0,1,casual,1,1
16,60.216099117241626,them,40,0.78,15.265540625917817,dry,10,1,day,0,1,dry_texter,0,1
18,35.33798531567136,them,102,0.22,69.62315717534176,dry,8,1,night,0,1,ghoster,0,1
34,33.125082483342965,me,4,0.67,46.1519324268399,dry,5,1,night,0,1,casual,1,0
28,15.158338711967257,them,94,0.85,34.27591429380141,dry,9,0,day,0,1,casual,0,0
48,10.76746012311477,me,46,0.42,17.002130474685504,enthusiastic,8,1,night,1,1,interested,1,0
31,60.4059630434966,me,116,0.74,31.91252551938951,neutral,8,1,night,0,1,interested,1,0
42,46.7374285367694,me,200,0.28,39.685744115039306,enthusiastic,7,1,day,1,1,ghoster,0,1
22,30.37078712472085,them,19,0.08,41.89143302409301,neutral,5,1,night,1,1,ghoster,0,0
29,29.807212382904467,me,6,0.13,28.920635869955145,neutral,1,0,day,1,0,interested,1,0
26,37.72676097661062,me,27,0.26,19.47764907801926,enthusiastic,6,1,day,0,1,ghoster,0,1
43,25.69256947894807,them,122,0.47,104.63689450420077,neutral,8,1,day,0,1,ghoster,0,1
35,16.35324801459133,me,114,0.31,50.05225286570964,dry,4,0,day,0,1,dry_texter,0,1
31,21.571957295071684,them,75,0.6,95.8153186802487,enthusiastic,5,0,night,1,1,casual,1,0
17,5.703100788602495,me,133,0.76,109.2845740092749,enthusiastic,10,1,night,1,1,casual,1,1
40,32.59924074704689,them,49,0.32,19.105767308966925,enthusiastic,0,0,day,1,1,casual,0,1
32,15.63754213316534,them,80,0.79,60.3090949487511,neutral,7,0,night,0,0,interested,1,0
17,58.84205212796906,me,32,0.97,86.0472200336048,neutral,7,0,day,0,1,interested,1,0
